"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
17.516152,"ethnic_id_ord","expo_reb_bf5yr_10km_bin","no_int",32315,99835.5108609292,99575.6289702006,24,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/3;KEN/6"
8.208224,"ethnic_fairtreat_ord","expo_2yr_25km_bin","EOSV_state",17891,48091.9869344321,47936.1458729903,11,"MLI/6;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2"
17.086496,"ethnic_fairtreat_ord","expo_2yr_25km_bin","no_int",32226,88684.5924840048,88449.937675949,21,"MLI/6;GIN/5;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;ZWE/2;ZWE/4;ZWE/5;TZA/2;KEN/6;KEN/2;KEN/5;KEN/4"
2.992176,"ethnic_fairtreat_ord","expo_reb_2yr_25km_bin","EOSV_rebel",7747,21428.2174995974,21330.8466462886,5,"LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
3.545192,"ethnic_fairtreat_ord","expo_reb_2yr_25km_bin","no_int",8457,23263.1023680544,23171.5466209172,6,"DZA/6;LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
7.175008,"ethnic_id_ord","expo_2yr_25km_bin","EOSV_state",15107,45972.6754044694,45835.4629616216,9,"MLI/6;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4"
14.127024,"ethnic_id_ord","expo_2yr_25km_bin","no_int",26738,82604.7295297418,82416.2711855103,16,"MLI/6;GIN/5;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;ZWE/4;ZWE/5;KEN/6;KEN/5;KEN/4"
3.06452,"ethnic_id_ord","expo_reb_2yr_25km_bin","EOSV_rebel",8054,23982.7378446885,23884.8229067087,5,"LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
3.612312,"ethnic_id_ord","expo_reb_2yr_25km_bin","no_int",8757,26154.7654970028,26062.756584429,6,"DZA/6;LBR/4;BDI/5;KEN/6;KEN/5;KEN/4"
9.478776,"ethnic_fairtreat_ord","expo_5yr_25km_bin","EOSV_state",20082,53460.3907864101,53286.4240446605,13,"MLI/6;LBR/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
