"dep_var","violence_var","int","mean","lwr","upr","lwr90","upr90"
"ethnic_fairtreat_ord","expo_reb_bf2yr_10km_bin","no_int",-0.0292402709705549,-0.0613604875753033,0.00220192501567051,-0.056413087464009,-0.00318475040011366
"ethnic_id_ord","expo_bf2yr_10km_bin","EOSV_state0",0.00118229424527435,-0.0416947030213968,0.0480806570041194,-0.0365411991159995,0.0390672534075326
"ethnic_id_ord","expo_bf2yr_10km_bin","EOSV_state1",0.0235762774011084,-0.0350525837966498,0.0824152891415837,-0.0263318008574338,0.0700385102058506
"ethnic_id_ord","expo_bf2yr_10km_bin","no_int",-0.0278423416809518,-0.0501683158185396,-0.0048524366060329,-0.046866061831414,-0.00784265303600443
"ethnic_id_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel0",0.0370727997238803,-0.0184345033328448,0.0977286235310026,-0.0118339122751284,0.0846905704023113
"ethnic_id_ord","expo_reb_bf2yr_10km_bin","EOSV_rebel1",-0.0356870853135876,-0.130122633711202,0.0677412038192682,-0.118682479610381,0.0500216328440527
"ethnic_id_ord","expo_reb_bf2yr_10km_bin","no_int",-0.0261410606378848,-0.0662418817371478,0.0138982464570958,-0.0586084884476759,0.00831876559951351
"ethnic_fairtreat_ord","expo_bf5yr_10km_bin","EOSV_state0",-0.0118298533828729,-0.0475029622610681,0.026221271256165,-0.0432667309585874,0.0186988940771453
"ethnic_fairtreat_ord","expo_bf5yr_10km_bin","EOSV_state1",0.134033896385912,0.0884280891341566,0.183148111340578,0.0928900897523736,0.174125711434844
"ethnic_fairtreat_ord","expo_bf5yr_10km_bin","no_int",0.0331906676694726,0.0168223346140575,0.0503618530456486,0.018915867965501,0.0485042793068225
"ethnic_fairtreat_ord","expo_reb_bf5yr_10km_bin","EOSV_rebel0",0.0202433510615079,-0.0266978770801351,0.0638748383889753,-0.016730873742608,0.0571970468486932
"ethnic_fairtreat_ord","expo_reb_bf5yr_10km_bin","EOSV_rebel1",0.0686474948721797,-0.0173752588928049,0.156189863943993,-0.00342163070024398,0.142190331765449
"ethnic_fairtreat_ord","expo_reb_bf5yr_10km_bin","no_int",-0.0279896524516024,-0.0607279012405935,0.000259524564236108,-0.0547471716817199,-0.003154694562328
