"dep_var","violence_var","int","mean","lwr","upr","lwr90","upr90"
"ethnic_id","expo_reb_1525_25km_bin","EOSV_rebel1",-0.0230499143183553,-0.0761877309134056,0.0181148254207962,-0.0663975157714582,0.010313919126788
"ethnic_id","expo_reb_1525_25km_bin","no_int",-0.00963183100520177,-0.0266691220668496,0.00280269617416071,-0.0238585509409592,0.000935200403500571
"ethnic_fairtreat","expo_1525_5km_bin","EOSV_state0",-0.0249600608507605,-0.0654773089327533,0.0135147928934341,-0.0593135789041732,0.00769744831772409
"ethnic_fairtreat","expo_1525_5km_bin","EOSV_state1",-0.00210301573418014,-0.0439543972098365,0.0385207113627391,-0.0374583593789805,0.0316557457848788
"ethnic_fairtreat","expo_1525_5km_bin","no_int",-0.0184371410689071,-0.0375710279167029,-0.00376084697672633,-0.0342653701342996,-0.00534588755968078
"ethnic_fairtreat","expo_reb_1525_5km_bin","EOSV_rebel0",0.0203601791976491,-0.0194390621756488,0.0632619888160117,-0.0115295949118679,0.0554625972155453
"ethnic_fairtreat","expo_reb_1525_5km_bin","EOSV_rebel1",-0.0517459991507666,-0.126247214026772,0.0232123150646587,-0.116426778479469,0.0122934867787616
"ethnic_fairtreat","expo_reb_1525_5km_bin","no_int",-0.00438190444243948,-0.0341225258970869,0.0250085351455114,-0.0304131322026672,0.0202031909449661
"ethnic_id","expo_1525_5km_bin","EOSV_state0",0.0125695665593685,-0.0104562744100585,0.0448902789630813,-0.00618749320659588,0.0382022660563949
"ethnic_id","expo_1525_5km_bin","EOSV_state1",-0.0244433337320164,-0.0630548943881788,0.0049777960920467,-0.0549613438196537,-0.000662382560652593
"ethnic_id","expo_1525_5km_bin","no_int",0.00292832000697736,-0.00806687672766511,0.0155520368449441,-0.00684355618605388,0.0128173239060386
"ethnic_id","expo_reb_1525_5km_bin","EOSV_rebel0",0.0130271660112743,-0.0146160650029539,0.0458690656572292,-0.00953188310442943,0.0386484165295522
"ethnic_id","expo_reb_1525_5km_bin","EOSV_rebel1",-0.0143096432080613,-0.0653464502960466,0.036973468695309,-0.0563718724504734,0.0259932037981826
"ethnic_id","expo_reb_1525_5km_bin","no_int",0.00128638034211514,-0.017396404138897,0.0210150063115881,-0.0132415117106824,0.0171409644725161
