"obsize_mb","dep_var","violence_var","int","n","BIC","AIC","country_rounds","country_rounds_list"
144.359976,"ethnic_id","expo_bf2yr_10km_bin","no_int",91594,70775.6985383686,70163.065670357,59,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/3;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6;MDG/5"
17.64024,"ethnic_id","expo_reb_bf2yr_10km_bin","EOSV_rebel",15107,11138.4578963922,10993.6225400528,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
45.956088,"ethnic_id","expo_reb_bf2yr_10km_bin","no_int",34674,26501.2927078632,26230.7728548858,26,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6"
40.997464,"ethnic_fairtreat","expo_bf5yr_10km_bin","EOSV_state",30213,28309.3454182693,28059.8645910398,22,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
134.269952,"ethnic_fairtreat","expo_bf5yr_10km_bin","no_int",84312,83608.9233968207,83020.359789416,57,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6"
17.310848,"ethnic_fairtreat","expo_reb_bf5yr_10km_bin","EOSV_rebel",14531,13202.6082365211,13058.511484552,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
44.692176,"ethnic_fairtreat","expo_reb_bf5yr_10km_bin","no_int",32793,32014.4883944148,31745.7533429921,26,"MLI/6;MLI/3;MLI/4;DZA/6;MAR/6;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;CIV/6;CIV/5;NGA/6;NGA/5;NAM/6;NAM/2;NAM/3;NAM/5;NAM/4;BDI/5;MOZ/5;MOZ/4;MOZ/6;MOZ/2;MOZ/3;KEN/6"
41.866576,"ethnic_id","expo_bf5yr_10km_bin","EOSV_state",31530,29160.1821949579,28909.4213523817,22,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;MLI/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;NER/5;NER/6;NGA/6;NGA/5;NGA/3;NGA/4;NGA/2;BDI/5"
138.791696,"ethnic_id","expo_bf5yr_10km_bin","no_int",89227,69690.159927985,69098.026773294,57,"MLI/6;MLI/3;MLI/4;MLI/2;LBR/6;LBR/4;LBR/5;GIN/6;GIN/5;MLI/5;SLE/6;SLE/5;SEN/4;SEN/2;SEN/6;SEN/5;CIV/6;CIV/5;TGO/6;TGO/5;NER/5;NER/6;NGA/6;CMR/6;NGA/5;NGA/3;NGA/4;NGA/2;CMR/5;NAM/6;NAM/2;NAM/3;NAM/5;ZAF/5;ZAF/4;ZAF/6;ZAF/3;ZAF/2;ZWE/2;ZWE/6;ZWE/4;ZWE/5;BDI/5;UGA/6;TZA/6;TZA/5;UGA/3;TZA/4;UGA/5;UGA/4;SWZ/6;KEN/6;KEN/2;KEN/5;KEN/3;KEN/4;MDG/6"
17.64024,"ethnic_id","expo_reb_bf5yr_10km_bin","EOSV_rebel",15107,11138.4578963922,10993.6225400528,11,"MLI/6;MLI/3;MLI/4;LBR/6;LBR/4;LBR/5;CIV/6;CIV/5;NGA/6;BDI/5;KEN/6"
